City,Bureau of Meteorology station number,Year,Month,Day,Date,Latitude,Longitude,Maximum temperature (Degree C),Minimum temperature (Degree C),Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres)
Sydney,66214,2019,11,29,2019-11-29 00:00:00 UTC,-33.86,151.21,29.9,20,23.6,NaN
Brisbane,40913,2019,11,29,2019-11-29 00:00:00 UTC,-27.48,153.04,31.3,22.9,26.3,0
Melbourne,86338,2019,11,29,2019-11-29 00:00:00 UTC,-37.83,144.98,19.7,11.9,21.9,0
Adelaide,23000,2019,11,28,2019-11-28 00:00:00 UTC,-34.92,138.6,25.2,9.1,30.5,0
Perth,9225,2019,11,28,2019-11-28 00:00:00 UTC,-31.96,115.79,29.4,16.8,31.2,0
Sydney,66214,2019,11,28,2019-11-28 00:00:00 UTC,-33.86,151.21,NaN,NaN,30.5,NaN
Brisbane,40913,2019,11,28,2019-11-28 00:00:00 UTC,-27.48,153.04,28.9,22,11.7,0
Melbourne,86338,2019,11,28,2019-11-28 00:00:00 UTC,-37.83,144.98,21.1,11.4,30.7,0
Adelaide,23000,2019,11,27,2019-11-27 00:00:00 UTC,-34.92,138.6,25.4,8.7,31.1,0
Perth,9225,2019,11,27,2019-11-27 00:00:00 UTC,-31.96,115.79,34.2,17.6,30.3,0
Sydney,66214,2019,11,27,2019-11-27 00:00:00 UTC,-33.86,151.21,23.9,14.5,30.9,2
Brisbane,40913,2019,11,27,2019-11-27 00:00:00 UTC,-27.48,153.04,31.7,22.4,27.6,0
Melbourne,86338,2019,11,27,2019-11-27 00:00:00 UTC,-37.83,144.98,24.8,8.6,31,0
Adelaide,23000,2019,11,26,2019-11-26 00:00:00 UTC,-34.92,138.6,19.2,12.3,30.2,0
Perth,9225,2019,11,26,2019-11-26 00:00:00 UTC,-31.96,115.79,34.4,14.2,31.1,0
Sydney,66214,2019,11,26,2019-11-26 00:00:00 UTC,-33.86,151.21,34.4,18.9,20.7,1.6
Brisbane,40913,2019,11,26,2019-11-26 00:00:00 UTC,-27.48,153.04,30.6,22.1,27.4,0
Melbourne,86338,2019,11,26,2019-11-26 00:00:00 UTC,-37.83,144.98,16.4,11.4,22.2,2
Adelaide,23000,2019,11,25,2019-11-25 00:00:00 UTC,-34.92,138.6,27.7,14.7,9.5,0
Perth,9225,2019,11,25,2019-11-25 00:00:00 UTC,-31.96,115.79,29,16.2,31,0
Sydney,66214,2019,11,25,2019-11-25 00:00:00 UTC,-33.86,151.21,28.7,18.3,19.2,0
Brisbane,40913,2019,11,25,2019-11-25 00:00:00 UTC,-27.48,153.04,30.5,18.9,26.3,0
Melbourne,86338,2019,11,25,2019-11-25 00:00:00 UTC,-37.83,144.98,27.4,11.4,18,0
